Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Land Rover,Discovery 3,2007.0,"(55) - 2.7 TD V6 XS SUV 5dr Diesel Manual (244 g/km, 190 bhp)",143,2007 (57 reg),Manual,Diesel,Rochdale ,5995
Citroen,C3,2006.0,(06) - 1.6i 16V SX 5dr,112,2006 (6 reg),Auto,Petrol,Rotherham ,1990
Porsche,911,2017.0,(24) - 3.0T 992 Carrera 4 GTS PDK 4WD Euro 6 (s/s) 2dr,7,2017 (66 reg),Auto,Petrol,Boroughbridge ,124995
Renault,Clio,2006.0,(06) - 1.2 Campus 3dr,75,2006 (6 reg),Manual,Petrol,Sheffield ,1295
Citroen,C1,2014.0,(64) - 1.0 VTi Flair Euro 5 5dr,36,2014 (64 reg),Manual,Petrol,Sheffield ,4995
Renault,Clio,2012.0,(62) - 2.0 16V RenaultSport 200 3dr,66,2012 (62 reg),Manual,Petrol,Leeds ,7995
Toyota,Land Cruiser,2014.0,(63) - 4.5 D-4D V8 5dr Auto,138,2014 (63 reg),Auto,Diesel,Dalton Magna ,34995
Ford,Ranger,2020.0,- 2.0 WILDTRAK ECOBLUE [ONE OF A KIND OVER 100K WORTH OF EXTRAS],19,2020 (20 reg),Auto,Diesel,Leeds ,39985
Audi,A3,2010.0,(10) - 1.6 TDI Technik 2dr,122,2010 (10 reg),Manual,Diesel,Goole ,2495
Ford,Fiesta,2012.0,(12) - 1.4 Titanium 5dr Auto,99,2012 (12 reg),Auto,Petrol,Keighley ,4995
Toyota,Avensis,2008.0,(58) - 2.2 D-4D TR 5dr,170,2008 (58 reg),Manual,Diesel,Bradford ,999
Land Rover,Defender,2010.0,(10) - XS Station Wagon TDCi,76,2010 (10 reg),Manual,Diesel,"Cleckheaton, Scholes ",27990
Porsche,Cayenne,2013.0,- 3.0 TD V6 5-Door,127,2013 (63 reg),Auto,Diesel,OLDHAM ,11495
BMW,M5,2019.0,(19) - COMPETITION xDrive 4dr Auto MR VANOS FORGED ENGINE|VT STAGE 2+ 830,51,2019 (19 reg),Auto,Petrol,Bradford ,53990
Mercedes-Benz,AMG GT,2019.0,(69) - 4.0 63 V8 BiTurbo S Edition 1 Coupe SpdS MCT 4MATIC+ Euro 6 (s/s) 5dr,30,2019 (69 reg),Auto,Petrol,Boroughbridge ,79895
Fiat,500,2015.0,(15) - 1.2 S Euro 6 (s/s) 3dr,47,2015 (15 reg),Manual,Petrol,Sheffield ,4995
Jaguar,XJ,2015.0,- 3.0 d V6 Portfolio 4-Door,75,2015 (65 reg),Auto,Diesel,OLDHAM ,12995
BMW,i5,2025.0,- 250kW eDrive40 M Sport 84kWh 4dr Auto,245,2025 (25 reg),Auto,Electric,Doncaster ,63750
Porsche,Cayenne,2022.0,(72) - 4.0T V8 GTS TiptronicS 4WD Euro 6 (s/s) 5dr,29,2022 (72 reg),Auto,Petrol,Boroughbridge ,78895
BMW,3 Series,2014.0,(14) - 2.0 320d M Sport Touring Auto xDrive Euro 5 (s/s) 5dr,104,2014 (14 reg),Auto,Diesel,Huddersfield ,9495
Ford,Fiesta,2011.0,(61) - 1.4 Zetec 3dr,78,2011 (61 reg),Auto,Petrol,Sheffield ,4695
Audi,Q5,2012.0,(12) - 2.0 TDI Quattro SE 5dr S Tronic,119,2012 (12 reg),Auto,Diesel,Doncaster ,5995
Volvo,V70,2012.0,(62) - 2.0 D4 R-Design Euro 5 (s/s) 5dr,134,2012 (62 reg),Manual,Diesel,keighley ,4495
Land Rover,Defender,2009.0,- County Hard Top TDCi,77,2009 (59 reg),Manual,Diesel,"Cleckheaton, Scholes ",21990
Vauxhall,Astra GTC,2014.0,(14) - 1.4T 16V 140 SRi 3dr,92,2014 (14 reg),Manual,Petrol,Castleford ,2895
Vauxhall,Astra GTC,2012.0,- 1.4T 16V 140 SRi 3dr - 11 SERVICE STAMPS -,61,2012 (12 reg),Manual,Petrol,Castleford ,3990
Audi,R8,2022.0,(72) - 5.2 FSI V10 Performance Edition Spyder RWD 2dr Petrol S Tronic Euro 6 (s/s),12,2022 (72 reg),Auto,Petrol,York ,111786
Vauxhall,Corsa,2011.0,(61) - 1.2 16V Limited Edition Euro 5 3dr,89,2011 (61 reg),Manual,Petrol,Cleckheaton ,2495
Toyota,Yaris,2006.0,(06) - 1.3 T Spirit Multimode 5dr,113,2006 (6 reg),Auto,Petrol,Wakefield ,2495
Mercedes-Benz,C-Class,2011.0,(61) - C63 4dr Auto,84,2011 (61 reg),Auto,Petrol,Dewsbury ,16995
