Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
SEAT,Leon,2021.0,- ETSI FR DSG MHEV 5-Door,95,2021 (21 reg),Auto,Petrol,Castleford ,11990
Ford,Mondeo,2012.0,(62) - 2.0 TDCi Zetec Business Edition Euro 5 5dr,116,2012 (62 reg),Manual,Diesel,Shipley ,2995
Ford,Focus,2018.0,(67) - 2.0T EcoBoost ST-3 Navigation 5dr,74,2018 (67 reg),Manual,Petrol,Dewsbury ,13995
Vauxhall,Mokka,2016.0,- 1.6 CDTi Exclusiv 5dr,71,2016 (65 reg),Manual,Diesel,Ashton-under-Lyne ,6295
BMW,1 Series,2017.0,- 2.0 M Sport Auto Euro 6 (s/s) 5dr,63,2017 (67 reg),Auto,Diesel,Leeds ,12000
Ford,Focus,2014.0,(64) - 1.0T EcoBoost Zetec Euro 5 (s/s) 5dr,62,2014 (64 reg),Manual,Petrol,Cleckheaton ,3495
MINI,Hatch,2017.0,(17) - 2.0 Cooper S 3dr - Media XL & Sat Nav & Chili Pack,47,2017 (17 reg),Manual,Petrol,Sheffield ,10490
BMW,1 Series,2014.0,(14) - 2.0 125d M Sport Hatchback 3dr Diesel Auto Euro 5 (s/s) (218 ps),122,2014 (14 reg),Auto,Diesel,Bradford ,6495
Honda,CR-V,2017.0,(17) - 1.6 i-DTEC 160 EX 5dr,87,2017 (17 reg),Manual,Diesel,High Peak ,11495
Nissan,Navara,2012.0,(12) - Double Cab Pick Up Tekna 2.5dCi 190 4WD Auto,107,2012 (12 reg),Auto,Diesel,Dewsbury ,6995
Vauxhall,Corsa,2022.0,(72) - 1.2 GS Line Hatchback 5dr Petrol Manual Euro 6 (75 ps),13,2022 (72 reg),Manual,Petrol,Oldham ,11999
Land Rover,Discovery,2012.0,(12) - 3.0 SDV6 255 HSE 5dr Auto,84,2012 (12 reg),Auto,Diesel,KEIGHLEY ,12995
Volkswagen,Polo,2007.0,(07) - 1.4 S 5dr,132,2007 (7 reg),Auto,Petrol,Wakefield ,2295
Ford,Fiesta,2016.0,(16) - 1.0T EcoBoost Titanium Euro 6 (s/s) 5dr,78,2016 (16 reg),Manual,Petrol,Halifax ,4495
Volkswagen,Polo,2013.0,(13) - 1.2 TDI Match Euro 5 5dr,103,2013 (13 reg),Manual,Diesel,keighley ,3695
Mercedes-Benz,E-Class,2015.0,(15) - E250 CDI AMG Line 2dr 7G-Tronic,144,2015 (15 reg),Auto,Diesel,Keighley West ,5489
Volkswagen,T-Cross,2021.0,- 1.0 TSI SE Euro 6 (s/s) 5dr,16,2021 (71 reg),Manual,Petrol,York ,15495
Vauxhall,Astra,2013.0,(63) - 2.0 CDTi 16V ecoFLEX SRi 5dr,123,2013 (63 reg),Manual,Diesel,Northowram ,1495
Ford,Focus,2014.0,(64) - 1.0 EcoBoost Zetec 5dr,70,2014 (64 reg),Manual,Petrol,Chesterfield ,5195
Nissan,Juke,2018.0,(68) - 1.6 Tekna XTRON Euro 6 5dr,31,2018 (68 reg),Auto,Petrol,Oldham ,10595
BMW,8 Series,2020.0,- 840i sDrive 4dr Auto,51,2020 (70 reg),Auto,Petrol,Leeds ,31899
BMW,3 Series,2016.0,(66) - 3.0 335d M Sport Auto xDrive Euro 6 (s/s) 4dr,62,2016 (66 reg),Auto,Diesel,Rochdale ,15979
Fiat,500,2014.0,(14) - 1.2 Pop Euro 6 (s/s) 3dr,70,2014 (14 reg),Manual,Petrol,Sheffield ,3195
Kia,XCeed,2024.0,(74) - 1.5 T-GDi 3 DCT Euro 6 (s/s) 5dr,5,2024 (74 reg),Auto,Petrol,Sheffield ,21523
Peugeot,208,2013.0,(13) - 1.2 VTi Active Hatchback 3dr Petrol Manual Euro 5 (82 ps),56,2013 (13 reg),Manual,Petrol,Leeds ,3695
Cupra,Born,2024.0,- 58kwh V3 Hatchback 5dr Electric Auto 204 Ps,11,2024 (74 reg),Auto,Electric,Huddersfield ,24995
BMW,3 Series,2008.0,- 2.0 320d M Sport Auto Euro 4 4dr,153,2008 (57 reg),Auto,Diesel,Halifax ,1700
Peugeot,3008,2017.0,(17) - 1.6 BlueHDi Allure EAT Euro 6 (s/s) 5dr,67,2017 (17 reg),Auto,Diesel,Rotherham ,6990
Volvo,V40,2016.0,(66) - D2 [120] R DESIGN Nav Plus *FSH & MOT 08/26* 5-Door,72,2016 (66 reg),Manual,Diesel,Doncaster ,8175
Ford,Focus,2012.0,(62) - 1.0T EcoBoost Zetec Euro 5 (s/s) 5dr,69,2012 (62 reg),Manual,Petrol,Oldham ,3890
Volvo,V60,2011.0,(11) - DRIVe [115] R DESIGN 5dr,154,2011 (11 reg),Manual,Diesel,Batley ,3295
Kia,Sportage,2025.0,- 1.6T GDi ISG GT-Line 5dr,49,2025 (74 reg),Manual,Petrol,Worksop ,27200
Peugeot,308,2015.0,(15) - 1.6 HDi Active Euro 5 (s/s) 5dr,68,2015 (15 reg),Manual,Diesel,Rotherham ,4190
Peugeot,2008,2017.0,(17) - 1.6 BlueHDi Active Euro 6 5dr,96,2017 (17 reg),Manual,Diesel,Leeds ,4940
Volkswagen,Polo,2020.0,(70) - 1.0 TSI 95 Match 5dr Petrol Hatchback,18,2020 (70 reg),Manual,Petrol,Huddersfield ,14445
Vauxhall,Corsa,2025.0,- 1.2 Turbo Yes Hatchback 5dr Petrol Manual Euro 6 s/s 100 Ps,99,2025 (25 reg),Manual,Petrol,Oldham ,16450
Mercedes-Benz,A-Class,2014.0,(64) - A200 2.1 CDI 136 BHP AMG SPORT EDITION 5-Door,87,2014 (64 reg),Manual,Diesel,Wakefield ,7489
Ford,Puma,2021.0,(21) - 1.0T EcoBoost MHEV ST-Line X SUV 5dr Petrol Manual Euro 6 (s/s) (125 ps),40,2021 (21 reg),Manual,Petrol,Leeds ,13995
Tesla,Model Y,2022.0,(72) - (Dual Motor) Long Range SUV 5dr Electric Auto 4WDE (384 bhp),26,2022 (72 reg),Auto,Electric,Oldham ,25799
Suzuki,SX4 S-Cross,2013.0,(63) - 1.6 DDiS SZ5 ALLGRIP Euro 5 (s/s) 5dr,91,2013 (63 reg),Manual,Diesel,Rochdale ,3490
Ford,Kuga,2014.0,(14) - 2.0 TDCi Titanium X 2WD Euro 5 5dr,111,2014 (14 reg),Manual,Diesel,Halifax ,4595
Lexus,IS,2014.0,(64) - 300h Executive Edition 4dr CVT Auto,247,2014 (64 reg),Auto,Hybrid,Northowram ,4995
Vauxhall,Corsa,2023.0,- 1.2 Turbo Ultimate 5dr,741,2023 (73 reg),Manual,Petrol,Doncaster ,17498
Dacia,Duster,2017.0,(17) - 1.5 dCi Laureate Euro 6 (s/s) 5dr,50,2017 (17 reg),Manual,Diesel,Rotherham ,6490
MINI,Hatch,2017.0,(17) - 2.0 Cooper S 3dr,56,2017 (17 reg),Manual,Petrol,Doncaster ,9495
Vauxhall,Mokka,2013.0,(13) - 1.7 CDTi Tech Line 4WD Euro 5 (s/s) 5dr,116,2013 (13 reg),Manual,Diesel,Sheffield ,2790
Honda,CR-V,2018.0,(18) - 2.0 i-VTEC 155 BHP EX EDITION 4WD SUV ( PANORAMIC ROOF ) 5-Door,50,2018 (18 reg),Manual,Petrol,Wakefield ,14489
Ford,Fiesta,2017.0,- TITANIUM 5-Door,73,2017 (67 reg),Manual,Petrol,Castleford ,7490
Jaguar,I-Pace,2021.0,(71) - 400 90kWh Black Auto 4WD 5dr,10,2021 (71 reg),Auto,Electric,Halifax ,23990
Fiat,500,2014.0,(64) - 1.2 Pop Dualogic Euro 6 (s/s) 3dr,33,2014 (64 reg),Auto,Petrol,Yeadon ,7190
Fiat,Punto,2005.0,(55) - 1.2 Active 3dr,34,2005 (55 reg),Manual,Petrol,Rotherham ,1350
Fiat,500,2013.0,- 1.2 Lounge 3dr [Start Stop] ## £35 ROAD TAX - STUNNING CAR ##,70,2013 (13 reg),Manual,Petrol,Wakefield ,3290
Ford,Ka,2010.0,(60) - 1.2 Titanium 3dr,52,2010 (60 reg),Manual,Petrol,Batley ,3195
MINI,Hatch,2016.0,(16) - 2.0 Cooper SD Euro 6 (s/s) 3dr,97,2016 (16 reg),Manual,Diesel,Yeadon ,6440
Land Rover,Defender 110,2006.0,(56) - 2.5 TD5 County 5dr,105,2006 (56 reg),Manual,Diesel,Wakefield ,14295
Vauxhall,Mokka,2025.0,- 100kW Griffin 50kWh 5dr Auto,1,2025 (74 reg),Auto,Electric,Barnsley ,19845
Land Rover,Range Rover Evoque,2016.0,- ED4 SE TECH 5-Door,52,2016 (66 reg),Manual,Diesel,Harrogate ,11995
BMW,iX3,2023.0,- 80kWh M Sport Pro SUV 5dr Electric Auto (286 ps),28,2023 (23 reg),Auto,Electric,Sheffield ,33250
Volkswagen,Golf,2021.0,(21) - 1.5 eTSI MHEV R-Line DSG Euro 6 (s/s) 5dr,99,2021 (21 reg),Auto,Hybrid,Bradford ,15290
Ford,Fiesta,2014.0,(64) - 1.6T EcoBoost ST-2 Euro 5 3dr,67,2014 (64 reg),Manual,Petrol,Rotherham ,6950
Kia,Sportage,2017.0,(17) - 1.7 CRDi ISG 2 5dr DCT Auto,81,2017 (17 reg),Auto,Diesel,Chesterfield ,9495
Mercedes-Benz,E-Class,2015.0,- 2.1 BlueTEC AMG Line G-Tronic+ Euro 6 (s/s) 4dr,135,2015 (64 reg),Auto,Diesel,Bradford ,6995
Vauxhall,Corsa,2025.0,- 100kW Yes 50kWh 5dr Auto,1,2025 (74 reg),Auto,Electric,Barnsley ,17730
Volkswagen,Polo,2018.0,(18) - 2.0 TSI GTI Hatchback 5dr Petrol DSG Euro 6 (s/s) (200 ps),80,2018 (18 reg),Auto,Petrol,Wakefield ,11995
Volvo,EX30,2025.0,"(25) - Plus Single Motor Extended Range (Park Camera, Harman/Kardon, Heated Seats) 5-Door",15,2025 (25 reg),Auto,Electric,Bradford ,30850
Ford,Fiesta,2011.0,(11) - 1.6 TDCi DPF Titanium 5dr,154,2011 (11 reg),Manual,Diesel,Sheffield ,1695
Audi,Q7,2015.0,- 3.0 TDI Quattro S Line 5dr Tip Auto,84,2015 (65 reg),Auto,Diesel,Ossett ,17495
Ford,Focus,2015.0,- 1.6 Titanium Navigation Automatic A/C 5-Door,59,2015 (15 reg),Auto,Petrol,Swinton ,7250
Ford,Focus,2018.0,(18) - 1.5 TDCi Zetec Edition Euro 6 (s/s) 5dr,93,2018 (18 reg),Manual,Diesel,Yeadon ,5995
Vauxhall,Grandland X,2020.0,(70) - 1.5 Turbo D SRi Nav 5dr,75,2020 (70 reg),Manual,Diesel,Rotherham ,7990
BMW,X5,2023.0,(72) - 3.0 30d MHT M Sport SUV 5dr Diesel Hybrid Auto xDrive Euro 6 (s/s) (286 ps),30,2023 (72 reg),Auto,Diesel,Oldham ,44749
Peugeot,2008,2024.0,- 1.2 Puretech Gt Suv 5dr Petrol Eat Euro 6 s/s 130 Ps,992,2024 (74 reg),Auto,Petrol,BARNSLEY ,21628
Jeep,Compass,2018.0,(68) - 1.4T MultiAirII Longitude Euro 6 (s/s) 5dr,60,2018 (68 reg),Manual,Petrol,Leeds ,8680
Nissan,Juke,2025.0,- 1.0 DIG-T 114 TEKNA 5DR DCT,3,2025 (25 reg),Auto,Petrol,Rochdale ,25914
Skoda,Superb,2021.0,(71) - 2.0 TDI SE L Euro 6 (s/s) 5dr,123,2021 (71 reg),Manual,Diesel,Keighley ,9989
BMW,1 Series,2019.0,(19) - M140i 3dr [Nav] Step Auto,33,2019 (19 reg),Auto,Petrol,Bradford ,22990
Hyundai,Santa Fe,2012.0,(12) - 2.2 CRDi Premium Auto 4WD Euro 5 5dr (5 seat),110,2012 (12 reg),Auto,Diesel,Sheffield ,4190
Tesla,Model Y,2022.0,(72) - (Dual Motor) Long Range SUV 5dr Electric Auto 4WDE (384 bhp),25,2022 (72 reg),Auto,Electric,Oldham ,25999
BMW,M5,2015.0,(65) - 4.4 V8 Saloon 4dr Petrol DCT Euro 6 (s/s) (560 ps),60,2015 (65 reg),Auto,Petrol,Wakefield ,22495
Audi,Q3,2014.0,(14) - 2.0 TFSI S line Plus SUV 5dr Petrol S Tronic quattro Euro 5 (s/s) (211 ps),51,2014 (14 reg),Auto,Petrol,Leeds ,12695
Volkswagen,Golf,2019.0,(19) - 2.0 TSI GTI Performance DSG Euro 6 (s/s) 5dr,58,2019 (19 reg),Auto,Petrol,"Leeds, Morley, Gildersome ",21495
Chrysler,Ypsilon,2013.0,(13) - 1.2 SE 5dr,39,2013 (13 reg),Manual,Petrol,Mexborough ,3295
SEAT,Leon,2015.0,(65) - 2.0 TDI FR 5dr DSG,80,2015 (65 reg),Auto,Diesel,Brighouse ,8290
Volvo,EX30,2024.0,"- Plus, Twin Motor Performance, Electric 5-Door",25,2024 (74 reg),Auto,Electric,Doncaster ,31500
Honda,ZR-V,2025.0,(25) - 2.0 eHEV Elegance 5dr CVT Hybrid Estate,10,2025 (25 reg),Auto,Hybrid,Bradford ,29995
Ford,Focus,2015.0,- 1.6 125 Titanium 5dr Powershift -1 FORMER KEEPER-,32,2015 (65 reg),Auto,Petrol,Castleford ,8490
Peugeot,508,2014.0,(64) - 2.0 HDi Allure Euro 5 4dr,102,2014 (64 reg),Manual,Diesel,Bradford ,2995
MG,MG HS,2025.0,- 1.5 T-GDI SE 5dr,5,2025 (25 reg),Manual,Petrol,Leeds ,22498
Renault,Captur,2020.0,(70) - Iconic TCe 130 5-Door,67,2020 (70 reg),Manual,Petrol,Sheffield ,9499
Peugeot,5008,2014.0,- 1.6 HDi 115 Allure 5dr -1 FORMER KEEPER-,61,2014 (63 reg),Manual,Diesel,Castleford ,5290
Peugeot,5008,2020.0,(20) - 1.2 PureTech Allure EAT Euro 6 (s/s) 5dr,102,2020 (20 reg),Auto,Petrol,Keighley ,11989
Fiat,500,2009.0,(59) - 1.4 Lounge Euro 5 (s/s) 3dr,79,2009 (59 reg),Manual,Petrol,Yeadon ,3495
Ford,Focus,2024.0,- 1.0 Ecoboost Hybrid Mhev 155 Titanium 5Dr Auto,6,2024 (74 reg),Auto,Petrol,Leeds ,21399
Jaguar,E-Pace,2022.0,(72) - 1.5 P300e 11.5kWh R-Dynamic SE Auto AWD Euro 6 (s/s) 5dr,21,2022 (72 reg),Auto,Hybrid,Harrogate ,28750
Citroen,C3,2021.0,(21) - 1.2 PureTech Shine Euro 6 (s/s) 5dr,70,2021 (21 reg),Manual,Petrol,Leeds ,7980
Audi,A1,2013.0,(13) - 1.6 TDI Sport 5dr,92,2013 (13 reg),Manual,Diesel,Chesterfield ,4495
Volvo,EX30,2025.0,"- Ultra Twin Motor Performance, Electric DELIVERY MILES 5-Door",3,2025 (25 reg),Auto,Electric,Wakefield ,34995
Citroen,C4 Grand Picasso,2015.0,(15) - 1.6 e-HDi 115 Exclusive+ 5dr,130,2015 (15 reg),Manual,Diesel,Dalton Magna ,3995
Renault,Grand Scenic,2011.0,(61) - 1.6 dCi Dynamique TomTom Euro 5 (s/s) 5dr,123,2011 (61 reg),Manual,Diesel,Oldham ,2395
Volvo,EX30,2025.0,"- Plus, Single Motor Extended Range Electric DELIVERY MILES 5-Door",3,2025 (25 reg),Auto,Electric,Wakefield ,30950
MG,MG HS,2025.0,- 1.5 T-GDI PHEV Trophy 5dr Auto,645,2025 (25 reg),Auto,Hybrid,Wakefield ,29990
BMW,M2,2024.0,- BiTurbo 3-Door,3,2024 (74 reg),Auto,Petrol,Cleckheaton ,60995
Skoda,Superb,2018.0,(67) - 2.0 TDI CR 190 SE L Executive DSG 5-Door,130,2018 (67 reg),Auto,Diesel,Wakefield ,7990
BMW,1 Series,2014.0,(14) - 116d M Sport 5dr,110,2014 (14 reg),Manual,Diesel,Sheffield ,4995
Skoda,Yeti,2014.0,- 2.0 TDI CR [140] SE 4x4 5dr DSG -FSH INCL TIMING BELT-,45,2014 (14 reg),Auto,Diesel,Castleford ,11990
Jeep,Renegade,2016.0,(16) - 1.6 E-TorQ Sport Euro 6 (s/s) 5dr,68,2016 (16 reg),Manual,Petrol,Rotherham ,6290
BMW,X3,2014.0,- 2.0 20d M Sport Auto xDrive Euro 6 (s/s) 5dr,85,2014 (64 reg),Auto,Diesel,Leeds ,11799
Citroen,C4 Grand Picasso,2016.0,- 1.6 BlueHDi Selection 5dr -FULL SERVICE HISTORY-,39,2016 (16 reg),Manual,Diesel,Castleford ,8990
Mercedes-Benz,SLK,2009.0,(09) - SLK 200K 2dr Tip Auto,99,2009 (9 reg),Auto,Petrol,Dalton Magna ,3995
Mercedes-Benz,GLA,2015.0,- GLA200 CDI SPORT EXECUTIVE 5-Door,125,2015 (15 reg),Auto,Diesel,Castleford ,6490
Vauxhall,Crossland X,2020.0,- 1.2 ELITE NAV [SAT NAV & STUNNING EXAMPLE] 5-Door,32,2020 (20 reg),Manual,Petrol,Leeds ,9485
Volkswagen,Tiguan,2016.0,- 2.0 TDi 150 4Motion SEL 5dr DSG,110,2016 (16 reg),Auto,Diesel,Ossett ,9995
BMW,1 Series,2015.0,(65) - 1.5 118i M Sport Euro 6 (s/s) 5dr,76,2015 (65 reg),Manual,Petrol,Oldham ,8796
Mercedes-Benz,C-Class,2018.0,(68) - 2.0 C220d AMG Line G-Tronic+ Euro 6 (s/s) 4dr,138,2018 (68 reg),Auto,Diesel,Bradford ,10650
Vauxhall,Grandland X,2019.0,(19) - 1.2 Turbo Sport Nav 5dr,113,2019 (19 reg),Manual,Petrol,Leeds ,5995
Vauxhall,Corsa,2017.0,- 1.4 i ecoTEC SRi 5dr Hatchback A/C,64,2017 (67 reg),Manual,Petrol,Swinton ,5250
Vauxhall,Mokka,2021.0,- 1.2 Turbo SRi Nav Premium 5dr,49,2021 (71 reg),Manual,Petrol,Doncaster ,12999
Volvo,EX30,2025.0,"- Plus, Single Motor Extended Range, Electric 5-Door",50,2025 (25 reg),Auto,Electric,Doncaster ,30995
Vauxhall,Corsa,2012.0,(62) - 1.2 16V SXi Euro 5 5dr (A/C),66,2012 (62 reg),Manual,Petrol,Sheffield ,3195
Citroen,C4 Grand Picasso,2018.0,(18) - 1.6 BlueHDi Flair Euro 6 (s/s) 5dr,91,2018 (18 reg),Manual,Diesel,Hyde ,8295
Honda,HR-V,2017.0,(17) - 1.6 i-DTEC EX Euro 6 (s/s) 5dr,105,2017 (17 reg),Manual,Diesel,Keighley ,5989
Jaguar,F-Type,2015.0,(65) - 5.0 V8 R Auto Euro 6 (s/s) 2dr,10,2015 (65 reg),Auto,Petrol,Harrogate ,39989
Volvo,EX30,2025.0,"- Ultra, Twin Motor Performance, Electric 5-Door",50,2025 (25 reg),Auto,Electric,Doncaster ,34995
MINI,Cooper,2025.0,- 135kW E Exclusive [Level 1] 41kWh 3dr Auto,49,2025 (25 reg),Auto,Electric,Doncaster ,27990
Audi,Q7,2023.0,- 3.0 TFSI V6 55 S line SUV 5dr Petrol Tiptronic quattro Euro 6 (s/s) (340 ps,25,2023 (72 reg),Auto,Petrol,Sheffield ,42980
Volkswagen,Golf,2019.0,(68) - 1.5 TSI EVO Match Hatchback 5dr Petrol Manual Euro 6 (s/s) (130 ps),32,2019 (68 reg),Manual,Petrol,Oldham ,13999
Ford,Fiesta,2018.0,(68) - 1.0T EcoBoost Titanium Euro 6 (s/s) 3dr,61,2018 (68 reg),Manual,Petrol,Pontefract ,7595
Ford,Fiesta,2015.0,- 1.0 T EcoBoost Zetec 5-Door,21,2015 (15 reg),Manual,Petrol,oldham ,7500
Ford,Mustang,2022.0,(72) - 5.0 V8 GT Fastback 2dr Petrol SelShift Euro 6 (450 ps),10,2022 (72 reg),Auto,Petrol,Oldham ,41949
Tesla,Model 3,2022.0,(22) - (Dual Motor) Long Range Saloon 4dr Electric Auto 4WDE (346 ps),26,2022 (22 reg),Auto,Electric,Oldham ,21599
MINI,Cooper,2025.0,- 135kW E Exclusive [Level 1] 41kWh 3dr Auto,640,2025 (25 reg),Auto,Electric,Doncaster ,28199
SEAT,Ibiza,2025.0,- 1.0 Tsi Fr Sport Hatchback 5dr Petrol Dsg Euro 6 s/s 115 Ps,125,2025 (25 reg),Auto,Petrol,Sheffield ,20269
Ford,Puma,2025.0,(25) - Puma ST-Line 5 Door 1.0L EcoBoost 125PS mHEV 6 Speed Manual,12,2025 (25 reg),Manual,Hybrid,Goole ,23821
BMW,3 Series,2015.0,(15) - 330d xDrive M Sport 5dr Step Auto [Business Media],137,2015 (15 reg),Auto,Diesel,Bradford ,8375
Toyota,Yaris,2002.0,(02) - 1.3 16v VVTi CDX 5dr,70,2002 (2 reg),Manual,Petrol,Bradford ,2799
Volkswagen,Tiguan,2014.0,(14) - 2.0 TDI BlueMotion Tech Match 2WD Euro 5 (s/s) 5dr,82,2014 (14 reg),Manual,Diesel,Doncaster ,6495
Audi,Q5,2015.0,- 2.0 TDI SE SUV 5dr Diesel Manual quattro Euro 6 (s/s) (190 ps),92,2015 (15 reg),Manual,Diesel,Huddersfield ,10995
Audi,A4,2012.0,(12) - 2.0 TDI 143 SE 4dr Multitronic,55,2012 (12 reg),Auto,Diesel,Dalton Magna ,5995
Hyundai,i10,2018.0,(18) - 1.2 Premium Auto Euro 6 5dr,28,2018 (18 reg),Auto,Petrol,Rochdale ,8979
Land Rover,Range Rover Evoque,2014.0,(14) - 2.2 SD4 Dynamic 4WD Euro 5 (s/s) 5dr,111,2014 (14 reg),Manual,Diesel,Rotherham ,6990
Nissan,X-Trail,2014.0,(14) - 2.0 dCi Tekna 4WD Euro 5 5dr (AVM),141,2014 (14 reg),Manual,Diesel,Wakefield ,4395
Tesla,Model Y,2022.0,(72) - (Dual Motor) Long Range SUV 5dr Electric Auto 4WDE (384 bhp),31,2022 (72 reg),Auto,Electric,Oldham ,24999
Volkswagen,Golf,2021.0,(21) - 2.0 TSI GTI 5dr DSG,16,2021 (21 reg),Auto,Petrol,Manchester ,22250
Volkswagen,Tiguan,2014.0,(64) - 2.0 TDI BlueMotion Tech R-Line 4WD Euro 5 (s/s) 5dr (Nav),115,2014 (64 reg),Manual,Diesel,Halifax ,6295
Lotus,Exige,2020.0,- 3.5 V6 350 Sport 2dr,14,2020 (20 reg),Manual,Petrol,Bradford ,50990
Volkswagen,Golf,2013.0,(13) - 2.0 TDI BlueMotion Tech GT 2dr,104,2013 (13 reg),Manual,Diesel,Doncaster ,4595
Audi,RS3,2020.0,(69) - RS 3 TFSI 400 Quattro 4dr S Tronic,35,2020 (69 reg),Auto,Petrol,Rochdale ,31995
DS,Automobiles DS 3,2016.0,(16) - 1.2 PureTech Chic Euro 6 3dr,52,2016 (16 reg),Manual,Petrol,Sheffield ,4890
Vauxhall,Adam,2015.0,(15) - 1.2 16v SLAM Euro 5 3dr,51,2015 (15 reg),Manual,Petrol,Cleckheaton ,4745
Volvo,EX30,2025.0,"- Ultra, Single Motor Extended Range, Electric 5-Door",261,2025 (25 reg),Auto,Electric,Wakefield ,31950
Jaguar,I-Pace,2020.0,- SE 1 OWNER AIR SUSPENSION BLACK PACK 5-Door,35,2020 (70 reg),Auto,Electric,Sheffield ,19750
Volkswagen,Passat,2020.0,(70) - 2.0 BiTDI R-Line Edition DSG 4Motion Euro 6 (s/s) 5dr,60,2020 (70 reg),Auto,Diesel,Castleford ,23500
Kia,Picanto,2023.0,- 1.0T GDi GT-line S 5dr [4 seats] Manual,11,2023 (23 reg),Manual,Petrol,Doncaster ,14365
BMW,1 Series,2013.0,(63) - 3.0 M135i Auto Euro 6 (s/s) 5dr,69,2013 (63 reg),Auto,Petrol,Huddersfield ,12495
BMW,X6,2018.0,(18) - 3.0 M50d SUV 5dr Diesel Auto xDrive Euro 6 (s/s) (381 ps),73,2018 (18 reg),Auto,Diesel,Bradford ,26250
Volkswagen,Polo,2024.0,(24) - 1.0 TSI R-Line Euro 6 (s/s) 5dr,5,2024 (24 reg),Manual,Petrol,Sheffield ,18828
Kia,Sportage,2014.0,(14) - 1.7 CRDi EcoDynamics White Edition 2WD Euro 5 (s/s) 5dr,97,2014 (14 reg),Manual,Diesel,Oldham ,5395
Renault,Captur,2017.0,(17) - 1.5 dCi ENERGY Dynamique Nav Auto Euro 6 (s/s) 5dr,67,2017 (17 reg),Auto,Diesel,Oldham ,7994
Ford,Mondeo,2016.0,(16) - 2.0 TDCi (210 BHP) POWERSHIFT SALOON + QUILTED LEATHER + NAV + 4-Door,117,2016 (16 reg),Auto,Diesel,Leeds ,8490
BMW,3 Series,2015.0,- 335d xDrive M Sport 4dr Step Auto,145,2015 (65 reg),Auto,Diesel,Ossett ,10995
Skoda,Fabia,2025.0,- 1.0 TSI 116 Design Edition 5dr Manual,0,2025 (25 reg),Manual,Petrol,Wakefield ,19244
Peugeot,208,2014.0,(14) - 1.0 VTi Active 5dr,76,2014 (14 reg),Manual,Petrol,Batley ,2999
Ford,Mondeo,2013.0,- 2.0 TDCi 163 Titanium X Sport 5dr Powershift,130,2013 (63 reg),Auto,Diesel,Ossett ,3495
Audi,A3,2017.0,(17) - 1.6 TDI Black Edition Euro 6 (s/s) 4dr,72,2017 (17 reg),Manual,Diesel,Keighley ,10989
Volkswagen,Polo,2011.0,(61) - 1.4 Match 5dr,130,2011 (61 reg),Manual,Petrol,Bradford ,2495
Land Rover,Range Rover Velar,2018.0,(18) - 3.0 D300 V6 R-Dynamic HSE SUV 5dr Diesel Auto 4WD Euro 6 (s/s) (300 ps),39,2018 (18 reg),Auto,Diesel,Oldham ,28949
SEAT,Mii,2015.0,(15) - 1.0 12v I TECH Hatchback 5dr Petrol Manual Euro 5 (60 ps),77,2015 (15 reg),Manual,Petrol,Sheffield ,5500
Mazda,CX-60,2025.0,(25) - 2.5 e-SKYACTIV 17.8kWh Exclusive-Line SUV 5dr Petrol Plug-in Hybrid Auto 4W,370,2025 (25 reg),Auto,Hybrid,Woodkirk ,32495
Volkswagen,Polo,2010.0,(60) - 1.2 Moda Hatchback 5dr Petrol Manual Euro 5 (60 ps),100,2010 (60 reg),Manual,Petrol,Bradford ,2000
BMW,X1,2017.0,(67) - 2.0 18d SE Auto sDrive Euro 6 (s/s) 5dr,17,2017 (67 reg),Auto,Diesel,Rotherham ,15790
Honda,Jazz,2025.0,(25) - 1.5 h i-MMD Elegance eCVT Euro 6 (s/s) 5dr,3,2025 (25 reg),Auto,Hybrid,Sheffield ,24999
Land Rover,Range Rover Sport,2022.0,- 2.0 P400e 13.1kWh HSE Dynamic Black SUV 5dr Petrol Plug-in Hybrid Auto 4WD,30,2022 (71 reg),Auto,Hybrid,Sheffield ,41980
BMW,X1,2021.0,(21) - 1.5 25e 10kWh M Sport Auto xDrive Euro 6 (s/s) 5dr,122,2021 (21 reg),Auto,Hybrid,Keighley ,11989
Volvo,EX30,2025.0,(25) - 200kW SM Extended Range Ultra 69kWh 5dr Auto,477,2025 (25 reg),Auto,Electric,York ,31450
MINI,Hatch,2016.0,(16) - 1.5 Cooper Euro 6 (s/s) 5dr,80,2016 (16 reg),Manual,Petrol,Leeds ,5740
Renault,Megane,2014.0,(64) - 1.5 dCi ENERGY Dynamique TomTom Euro 5 (s/s) 3dr,80,2014 (64 reg),Manual,Diesel,Yeadon ,3240
Land Rover,Discovery Sport,2018.0,(68) - 2.0 Si4 HSE Auto 4WD Euro 6 (s/s) 5dr,45,2018 (68 reg),Auto,Petrol,Harrogate ,18489
Vauxhall,Insignia,2014.0,(64) - Insignia Estate Car 2.0 CDTi [140] ecoFLEX Tech Line 5dr [Start Stop],140,2014 (64 reg),Manual,Diesel,Goole ,2495
Nissan,Qashqai,2019.0,- 1.5 dCi Acenta Premium DCT Auto Euro 6 (s/s) 5dr,53,2019 (19 reg),Auto,Diesel,Durkar ,11590
Nissan,X-Trail,2019.0,(69) - 1.7 dCi N-Connecta Euro 6 (s/s) 5dr,66,2019 (69 reg),Manual,Diesel,Yeadon ,12495
