Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
Nissan,GT-R,2011,75,2011 (11 reg),Auto,Petrol,Rotherham ,45000,3.8,2,Unknown,[530] Auto,10.714439990727769
Land Rover,Discovery 3,2007,143,2007 (57 reg),Manual,Diesel,Rochdale ,5995,2.7,5,Unknown,"TD V6 XS SUV Diesel Manual (244 g/km, 190 bhp)",8.698847859222488
Citroen,C3,2006,112,2006 (6 reg),Auto,Petrol,Rotherham ,1990,1.6,5,Unknown,i 16V SX,7.596392304064196
Porsche,911,2017,7,2017 (66 reg),Auto,Petrol,Boroughbridge ,124995,3.0,2,Euro 6 (s/s),992 Carrera 4 GTS PDK 4WD,11.736037015772427
Renault,Clio,2006,75,2006 (6 reg),Manual,Petrol,Sheffield ,1295,1.2,3,Unknown,Campus,7.16703787691222
Citroen,C1,2014,36,2014 (64 reg),Manual,Petrol,Sheffield ,4995,1.0,5,Euro 5,VTi Flair,8.516392871245468
Renault,Clio,2012,66,2012 (62 reg),Manual,Petrol,Leeds ,7995,2.0,3,Unknown,16V RenaultSport 200,8.98669669562029
Toyota,Land Cruiser,2014,138,2014 (63 reg),Auto,Diesel,Dalton Magna ,34995,4.5,5,Unknown,D-4D V8 Auto,10.462989048226156
Audi,A3,2010,122,2010 (10 reg),Manual,Diesel,Goole ,2495,1.6,2,Unknown,TDI Technik,7.822444729489319
Ford,Fiesta,2012,99,2012 (12 reg),Auto,Petrol,Keighley ,4995,1.4,5,Unknown,Titanium Auto,8.516392871245468
Toyota,Avensis,2008,170,2008 (58 reg),Manual,Diesel,Bradford ,999,2.2,5,Unknown,D-4D TR,6.907755278982137
Porsche,Cayenne,2013,127,2013 (63 reg),Auto,Diesel,OLDHAM ,11495,3.0,5,Unknown,- TD V6,9.34975442775886
BMW,M5,2019,51,2019 (19 reg),Auto,Petrol,Bradford ,53990,1.6,4,Unknown,COMPETITION xDrive Auto MR VANOS FORGED ENGINE|VT STAGE 2+ 830,10.896572644989313
Mercedes-Benz,AMG GT,2019,30,2019 (69 reg),Auto,Petrol,Boroughbridge ,79895,4.0,5,Euro 6 (s/s),63 V8 BiTurbo S Edition 1 Coupe SpdS MCT 4MATIC+,11.288481067922971
Fiat,500,2015,47,2015 (15 reg),Manual,Petrol,Sheffield ,4995,1.2,3,Euro 6 (s/s),S,8.516392871245468
Jaguar,XJ,2015,75,2015 (65 reg),Auto,Diesel,OLDHAM ,12995,3.0,4,Unknown,- d V6 Portfolio,9.472396896788991
BMW,i5,2025,245,2025 (25 reg),Auto,Electric,Doncaster ,63750,1.6,4,Unknown,- 250kW eDrive40 M Sport 84kWh Auto,11.062740149172154
Porsche,Cayenne,2022,29,2022 (72 reg),Auto,Petrol,Boroughbridge ,78895,4.0,5,Euro 6 (s/s),V8 GTS TiptronicS 4WD,11.275885808463908
BMW,3 Series,2014,104,2014 (14 reg),Auto,Diesel,Huddersfield ,9495,2.0,5,Euro 5 (s/s),320d M Sport Touring Auto xDrive,9.158625936289503
Ford,Fiesta,2011,78,2011 (61 reg),Auto,Petrol,Sheffield ,4695,1.4,3,Unknown,Zetec,8.454466361507933
Audi,Q5,2012,119,2012 (12 reg),Auto,Diesel,Doncaster ,5995,2.0,5,Unknown,TDI Quattro SE S Tronic,8.698847859222488
Volvo,V70,2012,134,2012 (62 reg),Manual,Diesel,keighley ,4495,2.0,5,Euro 5 (s/s),D4 R-Design,8.410943391573527
Vauxhall,Astra GTC,2014,92,2014 (14 reg),Manual,Petrol,Castleford ,2895,1.4,3,Unknown,16V 140 SRi,7.971085753505607
Vauxhall,Astra GTC,2012,61,2012 (12 reg),Manual,Petrol,Castleford ,3990,1.4,3,Unknown,- 16V 140 SRi - 11 SERVICE STAMPS -,8.291797105048733
Audi,R8,2022,12,2022 (72 reg),Auto,Petrol,York ,111786,5.2,2,Euro 6 (s/s),FSI V10 Performance Edition Spyder RWD Petrol S Tronic,11.624350553872434
Vauxhall,Corsa,2011,89,2011 (61 reg),Manual,Petrol,Cleckheaton ,2495,1.2,3,Euro 5,16V Limited Edition,7.822444729489319
Toyota,Yaris,2006,113,2006 (6 reg),Auto,Petrol,Wakefield ,2495,1.3,5,Unknown,T Spirit Multimode,7.822444729489319
Mercedes-Benz,C-Class,2011,84,2011 (61 reg),Auto,Petrol,Dewsbury ,16995,1.6,4,Unknown,C63 Auto,9.740733301234702
Ford,Fiesta,2009,103,2009 (9 reg),Auto,Petrol,Mexborough ,3695,1.4,5,Unknown,Style + Auto,8.215006432761575
BMW,Z4,2007,113,2007 (57 reg),Manual,Petrol,Batley ,2500,2.0,2,Unknown,- Z4 i Sport Roadster,7.824445930877619
SEAT,Ibiza,2012,130,2012 (62 reg),Manual,Diesel,Bradford ,1995,1.6,5,Unknown,TDI CR SE,7.59890045687141
Vauxhall,Insignia,2016,109,2016 (66 reg),Manual,Diesel,Oldham ,4295,1.6,5,Euro 6 (s/s),CDTi SRi VX Line Nav,8.3654396361887
BMW,M3,2021,29,2021 (71 reg),Auto,Petrol,Bradford ,76990,1.6,4,Unknown,M3 xDrive Competition M Step Auto,11.251443810887574
Vauxhall,Astra,2013,77,2013 (13 reg),Manual,Petrol,Castleford ,2990,1.6,5,Unknown,- i 16V SRi,8.003363058629947
Ford,Ranger,2024,22,2024 (73 reg),Auto,Diesel,Sheffield ,43776,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD,10.686863844288563
Audi,Q7,2015,125,2015 (15 reg),Auto,Diesel,Leeds ,10995,3.0,5,Euro 5 (s/s),TDI V6 S line Plus Tiptronic quattro,9.305286849285137
Land Rover,Defender 110,2024,4,2024 (24 reg),Auto,Petrol,Boroughbridge ,114995,5.0,5,Euro 6 (s/s),P525 V8 Carpathian Edition Auto 4WD,11.652652624131763
Audi,A1,2011,122,2011 (61 reg),Manual,Diesel,Doncaster ,3295,1.6,3,Unknown,TDI Sport,8.100464891029363
Mercedes-Benz,SLK,2002,73,2002 (2 reg),Auto,Petrol,Dalton Magna ,4995,1.6,2,Unknown,SLK 230K Tip Auto,8.516392871245468
BMW,M3,2005,89,2005 (55 reg),Manual,Petrol,Leeds ,19995,3.2,2,Euro 4,i,9.903287532533462
Mercedes-Benz,C-Class,2014,82,2014 (14 reg),Auto,Petrol,Bradford ,44990,6.2,5,Unknown,V8 (507 PS) C63 AMG EDITION 507 SpdS MCT + WOW !!! VERY RARE CAR !,10.714217748749789
Volvo,C30,2010,146,2010 (60 reg),Manual,Diesel,Wakefield ,2195,1.6,3,Euro 5,D2 R-Design Sports Coupe,7.694392802629421
Mercedes-Benz,C-Class,2015,135,2015 (15 reg),Auto,Diesel,Wakefield ,7995,2.1,4,Euro 6 (s/s),C220 BlueTEC AMG Line (Premium) G-Tronic+,8.98669669562029
Peugeot,107,2010,110,2010 (10 reg),Manual,Petrol,Wakefield ,1695,1.0,3,Unknown,Urban,7.4360278163518485
Ford,Ka,2010,83,2010 (60 reg),Manual,Petrol,Cleckheaton ,2250,1.2,3,Euro 4,Titanium,7.719129840906732
Peugeot,107,2007,97,2007 (7 reg),Manual,Petrol,Wakefield ,1490,1.0,3,Unknown,Sport XS,7.307202314764738
Land Rover,Defender 110,2023,25,2023 (72 reg),Auto,Diesel,Sheffield ,52980,3.0,5,Euro 6 (s/s),- D250 MHEV Hard Top SUV Diesel Auto 4WD MWB (250 ps),10.877688637695117
Land Rover,Defender,2025,913,2025 (25 reg),Auto,Diesel,Old Whittington ,89844,3.0,5,Unknown,D350 X-Dynamic HSE 110 Auto Diesel Estate,11.405841242360554
Jaguar,F-Type,2019,33,2019 (69 reg),Auto,Petrol,Harrogate ,41990,5.0,2,Unknown,P450 Supercharged V8 R-Dynamic Auto,10.645210588588755
Saab,9-3,2007,165,2007 (7 reg),Manual,Petrol,Cleckheaton ,990,1.8,2,Unknown,t Vector,6.898714534329988
Toyota,RAV4,2007,134,2007 (7 reg),Manual,Petrol,Greater Manchester ,2995,2.0,5,Unknown,XT-R 4WD,8.005033344637111
Honda,Jazz,2010,70,2010 (10 reg),Auto,Petrol,Cleckheaton ,3750,1.4,5,Euro 4,i-VTEC ES i SHIFT,8.229777750081887
Nissan,Qashqai,2014,83,2014 (64 reg),Manual,Diesel,Mexborough ,6395,1.5,5,Euro 5 (s/s),dCi Tekna 2WD,8.763428073953845
Land Rover,Range Rover Sport,2024,10,2024 (24 reg),Auto,Diesel,Boroughbridge ,77850,3.0,5,Euro 6 (s/s),D300 MHEV Dynamic SE Auto 4WD,11.262552022394802
Audi,R8,2015,25,2015 (15 reg),Auto,Petrol,Leeds ,59875,5.2,2,Unknown,"- SPYDER V10 QUATTRO [4X SERVICES, SAT NAV, LEATHER, HEATED SEATS, REVERS",11.000031036035127
Vauxhall,Corsa,2012,85,2012 (62 reg),Manual,Petrol,York ,3495,1.2,5,Unknown,- SE,8.159374736775426
